,similarity
flu respiratory symptoms,2.8322354131414937
flu treating,2.7774321715716064
facts flu swine,2.3625287150730103
flu onset,2.7927744430705075
flu pregnant,2.703930247864454
flu incubation virus,2.6467234528911536
flu pig,2.6907665138457393
flu history swine,2.4309779113713286
drug flu,2.624354453147107
diseases swine,2.165142754312581
avian flu the,2.458422772669176
cure flu,2.7025204893599777
flu symptom,2.8175391884809646
flu the virus,2.4301541545480654
cdc h1n1,2.0167976074879115
asian bird flu,2.5252007837259884
flu reports,2.5818905288242933
flu prevent,2.6286074483574353
bird death flu,2.5141820520518174
flu latest,2.5621627161685323
flu incidence,2.8299680223009265
flu pregnant vaccine,2.591096489378023
flu stomach,2.850824565552632
flu mortality,2.739991474364517
current flu virus,2.5349577916141692
flu medicine,2.904235622321532
flu headache,2.9004737834505723
flu treatment,2.812027117403814
rabies virus,2.289023756061065
flu like virus,2.439102481290495
bird flu update,2.5706211999776114
clinics flu,2.8651905301665805
ebola virus,2.055762053012447
avian flu who,2.3430440573371163
fever virus,2.5499959511978783
a flu virus,2.6467234528911536
causes flu,2.6612915528103036
flu mild,2.8710240255119057
flu mexico,2.691604318705242
flu map swine,2.4173286898574786
avian flu news,2.577810105951813
clinics flu vaccine,2.6605568052073334
flu nhs swine,2.6124447107556805
flu of swine symptoms,2.5674370679505794
flu relapse,2.87162143526462
flu infants,2.8427834811110837
disease sars,2.2338079879869426
contagious flu is swine,2.389816567250058
flu treatments,2.88647103989432
smallpox virus,2.2193254285452597
cases h1n1,2.09243550614684
bird flu the,2.4227951922019244
hiv virus,2.1246266387271673
flu winter,2.864937530025449
flu last,2.640818264758354
measles virus,2.236018046751828
vaccine,2.1754738763494195
symptoms virus,2.4368704288098777
cold flu,2.935673327712242
anti flu,2.679776467119848
effects flu,2.716591682216223
flu severe symptoms,2.7893127379569873
fight flu,2.637659256688197
flu germs,2.820315373035863
flu vomiting,2.8628765300821137
care flu,2.614556705721124
aches flu,2.9591282442362044
coughing flu,2.885690715699056
flu pregnancy vaccine,2.5954979110663006
flu intestinal,2.9332635800685547
flu seasonal symptoms,2.8351067413814484
flu influenza vs,2.6329649517921485
flu test,2.794546290632506
polio virus,2.204605187524794
deaths influenza,2.124153035164161
asian flu,2.640049857426468
flu pregnancy,2.744555275627858
common flu,2.589961593590117
cases flu of swine,2.4039015119454286
flu risks vaccine,2.562158737357245
flu rash,2.814814982489103
flu kills,2.6771654180820215
antivirals flu,2.9332635800685547
death flu,2.5879280170370036
children flu vaccine,2.543259793389113
flu symptoms treat,2.831504229834747
h1n1 spread,1.9063405280173455
bird flu news,2.534435711621536
flu season,2.6396259083567175
flu swine wiki,2.30589762562526
disease ebola virus,2.12515918620151
flu signs,2.652157116514783
avian flu of symptoms,2.5955555854116534
influenza seasonal vaccine,2.2980870284083976
flu masks,2.720446814312305
flu type,2.5633793337786837
flu nausea,2.9434231487640257
flu preventing,2.750680147398889
flu nasal vaccine,2.6727763682960908
flu of symptoms virus,2.5552813747445513
flu help,2.707902077791709
avoid flu,2.700705657366701
effectiveness flu vaccine,2.565395122383384
flu injections,2.8869025263484924
flu shots,2.7236151379613323
ebola outbreak,1.9761950708471159
flu immunisation,2.9332635800685547
exposure flu,2.6807096239397343
children flu,2.6581705655335934
flu transmission,2.72073053730382
aids virus,2.0924784349865373
deaths h1n1,2.0376804389021457
a h1n1 influenza,2.2861433120443175
flu new,2.5984276447396626
flu toddler,2.8474060390647167
dangers flu vaccine,2.5322394868199103
infection,2.6872494527612165
flu report,2.570854202642861
bird facts flu,2.3847329713849232
flu the vaccine,2.4251586791188853
influenza seasonal,2.3406999919010456
checker flu swine symptoms,2.6388409801314263
pneumonia vaccine,2.430889740157684
flu update,2.6724379826329905
flu nasal,2.8594204311953626
flu free vaccine,2.573615044928714
flu symptoms treating,2.8034532156779126
flu safety vaccine,2.5573768841491837
after flu pneumonia,2.800753847998228
contagious flu stomach,2.705019356712253
flu infant,2.7930671485168435
measles outbreak,2.142929556231968
burung flu virus,2.613563387071811
flu onset symptoms,2.770090060901982
after flu flu shot,2.785260895112466
conspiracy flu swine,2.4396919827348276
flu summer,2.766220364211162
flu reactions vaccine,2.525639847308046
flu ingredients vaccine,2.6076343278304663
child flu,2.6555756640680013
flu pandemic spanish,2.5696685534105432
flu tracking,2.6550773266500056
clinic flu,2.9060926174506645
infected,2.256429182453691
flu incubation,2.9332635800685547
flu statistics,2.52066749456277
flu pain,2.896441035633368
bird flu of symptoms,2.5822686149581786
sars symptoms,2.5354763718584192
flu stomach symptoms,2.839277075081677
flu remedy,2.784795721072337
flu reaction vaccine,2.5168017201876927
flu the,2.4853889100915536
flu remedies,2.7689032433062364
after flu flu jab,2.856863424213398
sick virus,2.365129718300129
fatigue flu,2.826426803678955
flu woman,2.6048031218634486
attack flu,2.6025473481083754
ebola symptoms virus,2.2383657892681974
flu information,2.5434432276723653
flu virus vs,2.5447717617225125
flu safety,2.7001649969671
flu mild symptoms,2.830816402531226
efficacy flu vaccine,2.621292947646126
availability flu vaccine,2.6362518258304553
bugs flu,2.749193252460637
bad flu,2.6569180824710443
flu trends,2.5812508266673713
baby flu,2.877875923741622
flu locations vaccine,2.5896142581192425
flu recovery,2.890303431725989
flu manufacturers vaccine,2.625588367405916
flu shot,2.6955871214542837
cdc pandemic,2.064870707407331
flu mexican,2.682182375331342
deadly virus,2.1694607285037555
flu rapid,2.771707332774
flu live vaccine,2.5006299689853053
flu map outbreak,2.381989006808486
flu us,2.555924949272779
flu spray,2.8316028710909014
data flu,2.5290981045886776
flu man,2.647471321105725
current flu,2.6679202783622116
chest flu,2.8648148909796745
flu got,2.683276024229186
flu stages,2.7539236839510446
flu last symptoms,2.7206574439182276
infections,2.497987853352215
flu uk vaccine,2.4958693433064782
flu flu shot with,2.7627618341225038
influenza testing,2.265359506322432
flu immunity,2.7267320100214927
flu of strain,2.5849584568277106
flu temperature,2.8296782228213657
cold flu symptoms,2.9145381936254533
activity flu,2.745462212858737
flu symptons,2.9332635800685547
flu zombie,2.6864935570848507
dog flu,2.7549720750199
flu watch,2.6701306632861135
spread virus,2.07235575509788
flu relief,2.8000042801664784
current flu strain,2.685106050744198
pneumonia,2.632718677045586
flu game,2.6512155008089966
flu types,2.5807065135818887
common flu symptoms,2.6515751610001614
flu like,2.4945353543021485
pig swine,1.98535517234009
after flu symptoms,2.776765151075688
flu homeopathic,2.8618461725350692
flu gastric,2.8774355006747236
first flu symptoms,2.6989464067374853
flu mandatory vaccine,2.5651531119820343
bird flu humans in,2.4174008935752704
rabies vaccine,2.262681826467762
a flu,2.9332635800685547
beginning flu symptoms,2.7105836219111783
end flu,2.657958461595273
flu for swine treatment,2.6167117492889584
cures flu,2.7528013057588114
duration flu,2.797865380316342
children flu symptoms,2.6988767318037676
flu injection,2.8353485961393767
flu who,2.3462737884221303
adults flu symptoms,2.731893997603484
ebola vaccine,2.03846736081938
flu lasts,2.7234692960733624
flu tylenol,2.933319060788499
flu symptoms toddler,2.831872391865981
effects flu of swine,2.4464483431855504
epidemic flu spanish,2.517611000896415
malaria vaccine,2.212053221549082
boots flu vaccine,2.664039783012227
a flu strain,2.868489640894968
flu jab,2.8385753982566135
flu news,2.6139330089777237
h1n1 of symptoms virus,2.3040275142908313
early flu symptoms,2.8681209632806346
fever flu no,2.6872269669147055
influenza mortality,2.260692507723228
flu protection,2.7387067060173
flu tablets,2.9295777252431985
ebola epidemic,1.988939832951707
disease,2.2338079879869426
b flu,2.9332635800685547
diarrhea virus,2.264333785105282
flu progression,2.777558099828144
flu look,2.6012158553119824
flu mist vaccine,2.6951651704741897
smallpox vaccine,2.1754738763494195
meningitis outbreak,2.2677269280739516
flu of signs swine,2.3642041151788042
advice flu,2.7084157540251756
b flu strain,2.868489640894968
hiv vaccine,2.1021116980639585
after contagious fever flu,2.75309589308177
effects flu side swine vaccine,2.5047228852760086
influenza treatment,2.402144518340883
and flu pneumonia,2.7483779654127733
flu swab,2.8948115575296636
spreading virus,2.0708585771616645
measles vaccine,2.2059046487089056
flu uk,2.6055345098090554
cholera disease,2.2283981064846587
flu of symptoms,2.624679928669239
flu mercury vaccine,2.540345599786741
airborne flu,2.735973616503823
flu symptoms the,2.5876621410469363
contagious flu with,2.558418850775847
flu women,2.529045329115021
flu nhs vaccine,2.576553677831407
epidemic measles,2.1629992772324624
cdc flu report,2.4181426330086384
cholera,2.145052901505491
fever flu with,2.819688421809485
flu jabs,2.879568051183085
tuberculosis vaccine,2.19669403786744
contagious flu is,2.4423755278615826
baby flu symptoms,2.8582263837289412
flu or pneumonia,2.628016329084831
cough virus,2.3978909160246205
flu shot symptoms,2.7515859241219203
contagious flu period,2.5799900888735054
current flu symptoms,2.7023100432112903
congestion flu,2.8199068776413436
facts flu,2.434267519879931
dizziness flu,2.9332635800685547
bug virus,2.3320014780762377
chills flu,2.779994303741804
flu info,2.629974606398833
h1n1 treatment,2.3696310614368348
flu for symptoms,2.7571896961070492
herpes virus,2.192087431137683
flu names,2.4960582658335686
hiv infection,2.4001103728284297
flu history,2.513016422132692
polio vaccine,2.1737961215220065
children flu in swine symptoms,2.5409081938967635
flu s,2.9332635800685547
duration fever flu,2.880754284426155
adults flu in swine symptoms,2.5618544220372153
fever flu without,2.779703849469372
flu systems,2.6962866547735476
infection symptoms,2.706242056976582
flu texas,2.6543363600744665
flu uk vaccination,2.5944131400594834
flu kids,2.7107186624626602
flu have i swine,2.525820845239261
flu like symptoms,2.5944528668185423
flu incubation period swine,2.6050011607368173
breakout flu,2.7974454524778136
flu russian,2.5696175874728415
outbreak salmonella,2.111606749536939
a flu symptoms,2.8467224218194245
contagious pneumonia,2.3796539927124103
flu google,2.4155873298433006
deaths flu related,2.422097915775902
flu jab symptoms,2.821677098662085
flu of strains,2.5472583310175527
4 flu,2.9332635800685547
flu spanish,2.6447037971690794
flu stomach treat,2.8469510171407912
hepatitis vaccine,2.2322911884845538
flu massachusetts,2.616642063208236
cause influenza,2.1590607450626527
flu of swine symptoms the,2.4058731551862422
b flu symptoms,2.8467224218194245
aids vaccine,2.0705364380799476
influenza test,2.3127650705036844
flu relieve symptoms,2.8247774017859286
and fever flu,2.801797958183556
h1n1 ingredients vaccine,2.2227586822403365
flu symptoms uk,2.668845515661905
definition flu,2.524005814592216
flu gestation,2.9332635800685547
boots flu,2.8338363663386814
chart flu,2.570982563282768
flu is swine what,2.232636527061022
dengue fever,2.625600354935372
disease ebola,2.0716419047509382
death influenza,2.107015807862089
flu mayo,2.7161225371556204
aids epidemic,2.009657192084726
infection respiratory,2.7093941893456353
california flu,2.658097024979482
flu tips,2.733894085350749
pneumonia symptoms,2.657549747231945
flu minnesota,2.7389786049674107
infection viral,2.3697370615312514
flu mask,2.7292838569707625
flu status,2.5378392138410666
flu mist,2.89307165693383
pandemic preparedness,2.1168654093556953
flu kids symptoms,2.7430077292580135
antiviral flu for,2.707657057052664
flu maryland,2.7617080151828146
florida flu,2.730956002577064
a flu type virus,2.470766162748149
colorado flu,2.738083230980765
cartoon flu,2.536842938590305
contagious infection respiratory,2.5496979495740466
flu med,2.893184698409625
death h1n1,2.015081242176181
cdc vaccines,2.04450386115154
flu sick with,2.684951771978701
flu spanish symptoms,2.697024802351939
flu pneumonia vs,2.760890160550291
flu images,2.569723931750744
cholera symptoms,2.4626600632237503
after cough flu,2.785003500626418
antibiotics flu for,2.8066036956537213
flu map,2.4934579522260973
flu indiana,2.686372533356926
infections viral,2.2137629281241797
meningitis vaccine,2.3203620215992653
herpes outbreak,2.1028149536021297
conspiracy flu vaccine,2.44468163912783
vaccination,2.353723842351644
flu nhs,2.703051150394666
flu webmd,2.9332635800685547
dengue fever symptoms,2.6744938789392134
flu prevent stomach,2.691716094587642
flu kit,2.7468704686624164
flu maps,2.5568304234915957
cartoons flu,2.660600489462429
infection symptoms viral,2.502733127101056
flu london,2.8265989268458913
pneumonia viral,2.2413507992350277
flu video,2.4811641506703777
flu quotes,2.495001945371584
flu georgia,2.751827945295063
stomach virus,2.4460850414490594
flu stomach treatment,2.829335909009534
rabies vaccination,2.3771641059376463
burung flu,2.826969718461723
disease infectious,2.176246395520478
disease polio,2.215212063672811
incubation influenza,2.286143312044317
arizona flu,2.754518610477756
flu seattle,2.726088084126662
mumps virus,2.2193254285452597
boston flu,2.7379791877847857
flu timeline,2.42137562740547
disease respiratory,2.3830818240851777
deaths flu from,2.464782507648614
flu respiratory upper,2.8245516912037547
rabies,2.31121453157152
viruses,2.1711419953257067
flu houston,2.6966628769354
dallas flu,2.6587927080518576
flu nhs symptoms,2.729162616177956
influenza the,1.9892447294364113
swine the,1.9045817873485853
anthrax vaccine,2.156759396991445
sickness virus,2.5023744203202627
flu wisconsin,2.708742782571586
a flu is virus,2.4570647754481145
flu hong kong,2.627337933664064
contagious fever,2.4968360268122995
flu in pregnancy vaccine,2.5238878111416483
flu last stomach,2.723662231853242
bird flu of symptoms the,2.4155384976326912
smallpox vaccination,2.353723842351644
flu myths,2.6002810789666957
flu illinois,2.706644891093108
stomach symptoms virus,2.5488223953850255
vaccinated,2.268551145567342
flu pictures,2.5009883766181487
marburg virus,2.2193254285452597
ebola,1.9234775712745633
flu for infants vaccine,2.5681642803936557
ebola fever,2.316470770322412
flu oregon,2.6365812941213047
measles vaccination,2.2990186523800693
diarrhea flu with,2.6573137408101433
fever,2.7364772677582385
cold flu medicine,2.950522825215484
hpv virus,2.2193254285452597
and colds flu,2.782655470716563
chicago flu,2.723082737760136
flu seasonal shot,2.7224457265912987
malaria,2.2130504619754916
flu tea,2.916981884635474
flu length,2.752414713300156
influenza of symptoms,2.3138148913753187
flu oklahoma,2.6808129898967037
of swine symptoms,2.2514366790976674
flu meme,2.5946384329842553
flu poster,2.6267279908335612
typhoid vaccine,2.1754738763494195
flu the treat,2.539467009662949
flu nj,2.7593073655980382
annual deaths flu,2.5521512310002823
flu positive test,2.666748182762985
flu virginia,2.6970270378064765
rabies symptoms,2.525216621084327
deaths vaccine,2.123036207185795
virus winter,2.391604718445375
flu for medication,2.7928048647144372
articles flu,2.45552593807017
contagious influenza is,2.0337423865315327
cdc flu map,2.3758428147672745
cough flu with,2.7298383882969754
flu meds,2.9657028396882903
flu nyc,2.7548253083641683
ebola symptoms,2.225634099487783
contagious tamiflu,2.0356194655217
after flu stomach,2.784871742334731
fever symptoms,2.7453887181484804
flu pa,2.888129606581858
deaths flu uk,2.4413702453597335
cvs flu,2.7646516987832075
malaria symptoms,2.450245923558406
flu ohio,2.713957290957588
bird flu is what,2.2478637796023593
cold virus,2.5386982818231343
h1n1 of symptoms,2.2839673212779776
flu sweating,2.8191328939219815
a contagious influenza,2.135543587748023
effectiveness flu of vaccine,2.421599766995003
for influenza symptoms,2.454398304182874
flu michigan,2.7221923311241385
mrsa virus,2.310874769997925
smallpox,1.998667554963358
children flu for vaccine,2.5001264205945555
flu maine,2.809793176943252
flu jokes,2.568187922788331
flu nasal spray vaccine,2.6687894094951687
flu funny,2.45079162498415
hiv,2.0176481945845115
flu tracker,2.715725081916338
illness,2.383179664766497
illness influenza like,2.196357564761064
flu pregnant when,2.429525224676083
virus vomiting,2.3814869831914427
antibiotic flu for,2.6900050868603462
smallpox symptoms,2.5354763718584192
cough flu without,2.6819292250240303
flu usa,2.620920371901632
hiv symptoms,2.3036627878204308
illness symptoms,2.5191291246315894
flu medicine prescription,2.8275000633728746
b contagious influenza,2.135543587748023
flu ny,2.7811611846418414
intestinal virus,2.2193254285452597
flu in ingredients vaccine,2.5173878546904733
catching flu the,2.4470924163426164
measles,2.2044124954993043
measles symptoms,2.4436756483237985
flu the treating,2.5062850450786356
flu wikipedia,2.2701219773880865
symptoms,2.5354763718584192
flu of onset,2.5378083836492813
tb vaccine,2.171173177506813
a influenza symptoms,2.5189593440321847
a influenza,2.286143312044317
atypical pneumonia,2.632718677045586
drugs flu for,2.574853954189067
flu h,2.9332635800685547
flu wiki,2.373782770319319
and diarrhea flu,2.6415883861612564
flu tummy,2.9348689615208023
rubella virus,2.2193254285452597
duration influenza,2.2328321921526326
flu pics,2.5927460288504744
flu for medications,2.769568802467188
flu for testing,2.6527032572421887
norovirus outbreak,2.2978842493691527
flu of symptom,2.5556502024092866
flu pain stomach,2.850752403978189
and flu pregnancy vaccine,2.5378533158852723
cure flu the,2.461420666441106
effects flu side vaccine,2.5524875996205543
flu of stomach symptoms,2.6941510004825693
symptoms tuberculosis,2.483855391515668
flu wine,2.861076121560258
cancer vaccine,2.110902628718809
influenza news,2.1093721856141716
tamiflu,1.998667554963358
b influenza symptoms,2.5189593440321847
flu prevent the,2.3800698827903672
flue swine symptoms,2.4132099679798045
flu stomach the,2.5972365458845474
flu remedies stomach,2.801436470236177
contagious flu is stomach,2.55808536265001
and cough flu,2.717835756889357
flu mortality rate,2.5805600552103862
b influenza,2.286143312044317
after coughing flu,2.835307232534206
cdc flu tracker,2.5276169141815354
flu in infants symptoms,2.6684449259841947
flu of treatment,2.562382411517334
flu pregnant with,2.624178220169351
flu in mexico,2.521590440264691
flu negative test,2.5516878367546245
flu pregnant while,2.6212383912945283
herpes vaccine,2.1760233718757394
efficacy flu of vaccine,2.465718943589152
tuberculosis,2.1962808288901434
polio symptoms,2.4239830146720402
show swine,1.9215130639991038
a h1n1,1.998667554963358
after flu rash,2.7425750690042205
cure flu for,2.6297678939426574
flu in infants,2.5979827557210404
flew swine,2.0681869158549304
flu sy,2.8201709537583177
aids hiv symptoms,2.199206550371674
vaccinations,2.3646145013640227
ebola the virus,1.9924154782776395
deadliest virus,2.0915234425673157
flu this year,2.4833040272131846
contagious diseases,2.1672427597858643
hanta virus,2.2193254285452597
babies flu in symptoms,2.6915434653953874
cdc hiv,2.019828408472281
flu for medicine,2.784446591888352
effective flu shot,2.568743563279683
flu posters,2.616859045900632
h1n1 news,2.013044116910381
clinics flu shot,2.715591864081775
flu headache with,2.804992042751305
flu results test,2.669525418981467
flu for treatment,2.6805321301728346
available flu shots,2.617937064452956
antiviral drugs flu for,2.574853954189067
flu memes,2.546553769671592
flu freshers,2.7188493146742254
flu jab pregnant,2.7147518222604132
and epidemic pandemic,2.1305027065990596
cdc tamiflu,2.0167976074879115
aids hiv,1.977288366873794
babies flu in,2.632821279437778
hepatitis symptoms,2.4923021829192726
flu mn,2.8453229418980546
cold flu remedies,2.864279952605559
flu swin,2.9332635800685547
children flu in symptoms,2.5863883923365614
polio,2.1378282109000915
adults flu in symptoms,2.6112183213339475
aids symptoms,2.301247974066484
first flu of symptoms,2.5373273299371153
flu sore symptoms throat,2.913762274006168
incubation virus,2.2193254285452597
flu in symptoms toddler,2.693752666055872
a influenza is virus,2.1200612663932343
flu in pregnancy,2.6056480701714793
chickenpox vaccine,2.1754738763494195
flu season this,2.484900324627551
fighting flu the,2.394990513670835
fight flu the,2.3788651477762053
tetanus vaccine,2.1754738763494195
conspiracy flu,2.5350922112539993
death flu statistics,2.410943625625899
and asthma flu,2.7281020124044586
flu quiz,2.6503522778179254
flu stats,2.498166268153676
epidemic or pandemic,2.022552747040072
flu vac,2.9080208055891306
shingles virus,2.3636413000171035
and flu pregnant,2.613989620365253
common flu the,2.333927013057264
cases ebola,1.9981189983150518
early flu of symptoms,2.6879484375523477
flu have the,2.3782418378101555
chicken pox virus,2.3460545805789144
flu for incubation period swine,2.5537082554141555
respiratory,2.50498217776551
and bronchitis flu,2.755699528001588
flu from recovering,2.715743424274805
contagious meningitis,2.2651023934050047
children flu in,2.498079849434864
death flu rate,2.4849914523636984
adults flu in,2.5248268497553146
do flu have i swine,2.3896114088968265
flu of signs,2.405411404649566
contagious meningitis viral,2.1154711533017987
after flu the,2.453961867023318
flu season the,2.4143410673587704
flu sore throat,2.925964327435627
flu in toddler,2.6211018355795344
flu of type,2.4000427572636363
flu rapid test,2.700766098443044
does flu vaccine work,2.5449871601866
colds contagious,2.4477309705118224
flu is swine the what,2.142056387193442
flu pregnancy shot,2.6499257034622783
flu stop the,2.3374607262819826
influenza spanish,2.013656092960656
flu vomiting with,2.72690749103581
deaths from influenza,2.0972353884035577
best flu medicine,2.766438775360924
contagious flu is when,2.2937925920154565
avoid flu the,2.419299501025772
effects flu side vaccination,2.632149669143687
fever symptoms typhoid,2.7453887181484795
ebola outbreak the,1.9319873700305028
baby flu has,2.5730565972806914
flu of symptoms the,2.4357118102925366
after flu shot,2.620384273018978
cdc,2.0167976074879115
death flu from,2.4592584813166267
flu for test,2.668207671113988
a flu symptoms type,2.6252796018524274
deadly viruses,2.1281275927244017
flu new the,2.347307306797672
aches body flu,2.833597394643699
antibiotics fever,2.840221171499969
and cold flu symptoms,2.812290937711211
flu free shots,2.6195793968905026
flu rash with,2.6895245401442915
fever flu the with,2.571933680438947
flu jab winter,2.8462732313290906
antivirals flu for,2.707657057052664
cases measles,2.174213013286131
contagious flu is the,2.2891200961893965
diseases infectious,2.171975532604257
hepatitis viral,2.0296942165426914
during flu pregnancy,2.6777910831761313
meningitis symptoms viral,2.3498110168619686
flu food for,2.6957444436933957
b flu symptoms type,2.6252796018524274
flu getting the,2.4534571819320052
health symptoms,2.510310537031226
influenza pcr,2.24823874704077
pneumonia treat,2.5457788762175917
flu peak season,2.606362697093282
flu vomiting without,2.687528606795943
diseases respiratory,2.380884042964768
meningitis symptoms,2.5631080515095706
flu for symptoms the,2.5320726763108063
ebola facts virus,1.9341501753096386
hepatitis,2.2681144869327854
diseases viral,2.064875378720678
fighting flu foods,2.640701113633312
children flu with,2.543668461278873
flu having the,2.4756273109972082
bacterial flu or viral,2.368242014303891
flu nasal spray,2.7925237264774676
flu getting shot,2.623302380402763
and flu signs symptoms,2.58055448318947
flu infection or sinus,2.7537044750306108
bacterial infection symptoms,2.6576736578311144
flu toddler with,2.680088624199968
contagious flu for period,2.5455872019506303
aids,1.9293957597736908
flu getting over,2.619871446243198
exposure flu to,2.4918895108196404
flu jab pregnancy,2.7407513231837264
clinic flu shot,2.7542435155331306
contagious infection staph,2.471806389749952
flu in us,2.4260548482026527
flu in symptoms toddlers,2.675756805608648
ebola spread,1.8967537613308436
flu get shot,2.5652286473249184
bacterial contagious pneumonia,2.396954283991802
a flu type,2.5633793337786837
norovirus vaccine,2.370798019312833
are flu symptoms what,2.351903541384657
chest flu pain,2.859350266675398
rotavirus vaccine,2.1754738763494195
cow disease mad symptoms,2.34793953770621
and flu strep,2.64181550621158
babi flu,2.822865825876086
checker flu symptom,2.673125534591895
and cold flu,2.7863773176105204
flu swab test,2.770268522872952
flu of strains the,2.3472574715881316
flu no shot,2.4796021902491994
definition h1n1,1.7940203860211679
child flu with,2.540251050188187
flu for incubation,2.707657057052664
about flu the,2.264401841289381
flu shot the,2.414606387063619
contagious flu how long,2.3885479344093845
flu of stages,2.501119546109313
fever typhoid,2.7364772677582385
flu is the viral,2.2162629768935003
flu giving shots,2.548856514501702
flu got the,2.4344964263742668
flu incubation time,2.763104021204831
b flu type,2.5633793337786837
flu have i,2.6086461694500542
diseases,2.2260121432601148
influenza map,1.937962333268475
deadly most virus,2.047334878091845
flu is the virus what,2.1838052421330896
bacteria infection,2.5279002057971987
flu season uk,2.4932062457616837
